date,product_category,product_name,units_sold,units_returned,price,discount_percentage,revenue,platform,location
2020-02-05,Vitamins,SlimFast,0.0,1.0,9.99,25.0,0.0,Online,Phoenix
2020-09-16,Energy Drinks,SuperVita,0.0,1.0,12.5,20.0,0.0,Instore,Los Angeles
2020-03-11,Immunity Boosters,MuscleMax,11.0,1.0,9.99,20.0,0.0,Mobile App,Chicago
2020-06-05,Energy Drinks,ImmunoPro,45.0,0.0,12.5,20.0,450.0,Instore,Houston
2020-07-08,Protein,PowerFuel,0.0,0.0,10.99,10.0,0.0,Mobile App,Phoenix
2020-07-15,Sleep Aids,ImmunoPro,45.0,2.0,12.5,50.0,0.0,Online,Chicago
2020-02-05,Weight Loss,DreamRest,39.0,0.0,10.99,10.0,385.749,Instore,New York
2020-12-02,Energy Drinks,SuperVita,11.0,1.0,12.5,20.0,0.0,Online,Phoenix
2020-03-18,Weight Loss,SuperVita,6.0,2.0,9.99,20.0,47.952,Mobile App,Los Angeles
2020-03-11,Sleep Aids,SuperVita,19.0,1.0,10.99,25.0,156.6075,Online,New York
2020-04-22,Weight Loss,SuperVita,43.0,1.0,10.99,10.0,425.313,Mobile App,New York
2020-09-30,Sleep Aids,SuperVita,0.0,1.0,15.0,50.0,0.0,Instore,Phoenix
2020-07-15,Weight Loss,MuscleMax,0.0,1.0,15.0,50.0,0.0,Online,Los Angeles
2020-02-05,Vitamins,SuperVita,0.0,1.0,15.0,50.0,0.0,Instore,Phoenix
2020-07-01,Weight Loss,SlimFast,0.0,1.0,12.5,50.0,0.0,Mobile App,Chicago
2020-01-29,Weight Loss,DreamRest,33.0,0.0,15.0,105.0,-24.75,Mobile App,Chicago
2020-03-04,Weight Loss,DreamRest,22.0,1.0,15.0,0.0,330.0,Instore,Houston
2020-09-09,Weight Loss,SuperVita,21.0,1.0,9.99,105.0,-10.48950000000002,Instore,Chicago
2020-08-05,Protein,DreamRest,7.0,0.0,12.5,25.0,0.0,Online,Chicago
2020-07-01,Protein,MuscleMax,31.0,2.0,12.5,20.0,0.0,Online,Los Angeles
2020-05-27,Immunity Boosters,SlimFast,21.0,1.0,10.99,50.0,115.395,Online,Houston
2020-10-07,Energy Drinks,SlimFast,11.0,1.0,10.99,20.0,0.0,Instore,Los Angeles
2020-07-15,Energy Drinks,SuperVita,3.0,0.0,15.0,20.0,36.0,Mobile App,Los Angeles
2020-03-04,Weight Loss,PowerFuel,11.0,0.0,12.5,20.0,0.0,Online,Houston
2020-08-05,Protein,SlimFast,30.0,1.0,15.0,105.0,-22.5,Online,Chicago
2020-05-06,Protein,MuscleMax,29.0,1.0,15.0,105.0,-21.75,Online,Phoenix
2020-07-22,Protein,SlimFast,0.0,1.0,9.99,50.0,0.0,Mobile App,Phoenix
2020-11-04,Sleep Aids,SlimFast,0.0,1.0,10.99,50.0,0.0,Instore,Chicago
2020-05-06,Protein,DreamRest,11.0,1.0,15.0,20.0,0.0,Instore,Chicago
2020-07-10,Sleep Aids,SuperVita,20.0,0.0,12.5,20.0,0.0,Instore,Chicago
2020-02-05,Energy Drinks,SlimFast,11.0,1.0,12.5,20.0,0.0,Mobile App,Phoenix
2020-03-11,Weight Loss,ImmunoPro,48.0,0.0,9.99,0.0,479.52,Instore,Houston
2020-10-28,Weight Loss,DreamRest,6.0,0.0,15.0,50.0,45.0,Online,Chicago
2020-06-10,Sleep Aids,ImmunoPro,38.0,2.0,10.99,105.0,-20.88100000000003,Instore,Chicago
2020-01-08,Immunity Boosters,DreamRest,11.0,0.0,9.99,20.0,0.0,Mobile App,Los Angeles
2020-02-19,Vitamins,ImmunoPro,0.0,0.0,12.5,50.0,0.0,Instore,Los Angeles
2020-07-22,Sleep Aids,SlimFast,11.0,1.0,10.99,20.0,0.0,Online,Los Angeles
2020-04-29,Energy Drinks,SlimFast,29.0,1.0,15.0,0.0,435.0,Instore,New York
2020-08-26,Sleep Aids,DreamRest,4.0,2.0,12.5,0.0,50.0,Online,Los Angeles
2020-10-21,Sleep Aids,SuperVita,4.0,1.0,12.5,0.0,50.0,Mobile App,Houston
2020-01-29,Immunity Boosters,SlimFast,11.0,1.0,15.0,20.0,0.0,Instore,New York
2020-04-29,Protein,PowerFuel,35.0,1.0,10.99,105.0,-19.23250000000002,Online,Chicago
2020-01-01,Protein,DreamRest,0.0,2.0,10.99,10.0,0.0,Instore,Los Angeles
2020-08-19,Vitamins,SuperVita,29.0,1.0,12.5,0.0,0.0,Online,Houston
2020-09-30,Sleep Aids,ImmunoPro,11.0,0.0,9.99,20.0,0.0,Online,Los Angeles
2020-10-28,Sleep Aids,SuperVita,11.0,2.0,12.5,10.0,0.0,Online,Chicago
2020-04-29,Immunity Boosters,DreamRest,25.0,1.0,12.5,50.0,0.0,Online,Los Angeles
2020-12-16,Sleep Aids,SlimFast,28.0,1.0,9.99,20.0,223.776,Online,Los Angeles
2020-07-01,Energy Drinks,SlimFast,21.0,2.0,12.5,105.0,-13.125,Online,Los Angeles
2020-02-05,Vitamins,SlimFast,7.0,1.0,12.5,0.0,0.0,Mobile App,New York
2020-10-21,Energy Drinks,SlimFast,11.0,2.0,12.5,20.0,0.0,Mobile App,Los Angeles
2020-09-09,Protein,SuperVita,11.0,2.0,12.5,20.0,0.0,Online,Phoenix
2020-09-09,Weight Loss,SuperVita,39.0,0.0,12.5,20.0,390.0,Instore,Phoenix
2020-05-27,Protein,PowerFuel,37.0,0.0,12.5,105.0,-23.125,Instore,New York
2020-02-05,Protein,SlimFast,27.0,2.0,12.5,20.0,270.0,Mobile App,New York
2020-12-09,Immunity Boosters,MuscleMax,11.0,1.0,12.5,0.0,0.0,Instore,Los Angeles
2020-04-29,Weight Loss,SuperVita,39.0,1.0,15.0,10.0,526.5,Mobile App,Los Angeles
2020-06-03,Energy Drinks,SuperVita,34.0,0.0,12.5,25.0,318.75,Mobile App,New York
2020-01-01,Protein,PowerFuel,49.0,2.0,15.0,0.0,735.0,Online,Chicago
2020-11-25,Protein,SlimFast,11.0,1.0,12.5,20.0,0.0,Instore,New York
2020-01-29,Sleep Aids,SuperVita,11.0,1.0,10.99,20.0,0.0,Mobile App,Los Angeles
2020-09-09,Sleep Aids,SlimFast,0.0,1.0,10.99,20.0,0.0,Instore,Chicago
2020-11-04,Vitamins,SlimFast,11.0,1.0,12.5,25.0,0.0,Mobile App,Los Angeles
2020-06-24,Sleep Aids,DreamRest,15.0,1.0,10.99,50.0,82.425,Instore,Los Angeles
2020-08-19,Energy Drinks,DreamRest,0.0,1.0,10.99,10.0,0.0,Mobile App,Houston
2020-03-18,Sleep Aids,MuscleMax,12.0,1.0,12.5,20.0,0.0,Mobile App,Chicago
2020-10-28,Immunity Boosters,DreamRest,41.0,1.0,9.99,0.0,409.59,Online,Chicago
2020-10-07,Energy Drinks,SuperVita,0.0,2.0,9.99,25.0,0.0,Online,New York
2020-06-10,Vitamins,MuscleMax,40.0,1.0,12.5,50.0,0.0,Instore,New York
2020-07-15,Immunity Boosters,SlimFast,21.0,1.0,12.5,0.0,262.5,Online,Los Angeles
2020-12-23,Energy Drinks,MuscleMax,11.0,0.0,12.5,20.0,0.0,Online,Chicago
2020-08-19,Protein,DreamRest,24.0,1.0,9.99,0.0,239.76,Mobile App,New York
2020-12-16,Energy Drinks,MuscleMax,0.0,1.0,9.99,20.0,0.0,Mobile App,Chicago
2020-05-27,Sleep Aids,PowerFuel,23.0,1.0,12.5,50.0,143.75,Instore,Los Angeles
2020-05-13,Sleep Aids,DreamRest,11.0,1.0,12.5,20.0,0.0,Online,New York
2020-05-13,Protein,DreamRest,50.0,1.0,12.5,10.0,562.5,Instore,Los Angeles
2020-05-06,Vitamins,SuperVita,43.0,1.0,12.5,50.0,268.75,Online,Chicago
2020-03-11,Sleep Aids,PowerFuel,47.0,0.0,9.99,20.0,375.624,Instore,Houston
2020-07-15,Sleep Aids,SuperVita,11.0,2.0,9.99,20.0,0.0,Instore,New York
2020-10-28,Weight Loss,SuperVita,50.0,1.0,12.5,50.0,0.0,Online,Chicago
2020-03-25,Protein,ImmunoPro,4.0,2.0,12.5,0.0,0.0,Instore,Los Angeles
2020-06-05,Protein,ImmunoPro,0.0,1.0,10.99,10.0,0.0,Online,New York
2020-01-08,Weight Loss,DreamRest,16.0,0.0,15.0,10.0,216.0,Online,New York
2020-02-12,Sleep Aids,DreamRest,11.0,0.0,15.0,20.0,0.0,Online,Chicago
2020-12-02,Weight Loss,SuperVita,11.0,2.0,12.5,20.0,0.0,Instore,Los Angeles
2020-02-19,Protein,ImmunoPro,11.0,1.0,9.99,20.0,0.0,Mobile App,Chicago
2020-01-29,Weight Loss,SuperVita,0.0,1.0,15.0,25.0,0.0,Online,New York
2020-04-15,Protein,MuscleMax,34.0,0.0,12.5,50.0,0.0,Mobile App,New York
2020-06-17,Vitamins,SlimFast,24.0,0.0,15.0,0.0,360.0,Online,New York
2020-04-15,Sleep Aids,MuscleMax,50.0,1.0,10.99,20.0,439.6,Mobile App,New York
2020-10-14,Sleep Aids,SuperVita,45.0,1.0,12.5,0.0,562.5,Instore,Chicago
2020-01-15,Vitamins,SlimFast,3.0,2.0,12.5,25.0,0.0,Mobile App,Chicago
2020-04-22,Sleep Aids,SlimFast,19.0,0.0,15.0,20.0,228.0,Online,New York
2020-07-08,Sleep Aids,SuperVita,25.0,1.0,9.99,105.0,-12.48750000000001,Online,New York
2020-12-23,Vitamins,SlimFast,6.0,1.0,12.5,50.0,37.5,Mobile App,New York
2020-12-02,Sleep Aids,ImmunoPro,20.0,1.0,9.99,10.0,179.82,Instore,Chicago
2020-06-03,Sleep Aids,DreamRest,40.0,2.0,10.99,0.0,439.6,Instore,Los Angeles
2020-06-10,Sleep Aids,PowerFuel,0.0,1.0,9.99,0.0,0.0,Instore,Los Angeles
2020-04-15,Energy Drinks,DreamRest,11.0,1.0,12.5,20.0,0.0,Online,New York
2020-06-10,Vitamins,PowerFuel,34.0,1.0,15.0,105.0,-25.5,Mobile App,Houston
2020-02-19,Protein,SuperVita,34.0,1.0,10.99,20.0,298.928,Mobile App,Chicago
2020-04-01,Energy Drinks,SuperVita,0.0,1.0,10.99,25.0,0.0,Instore,Chicago
2020-02-05,Energy Drinks,DreamRest,11.0,1.0,12.5,20.0,0.0,Mobile App,Chicago
2020-11-11,Sleep Aids,PowerFuel,11.0,0.0,12.5,20.0,0.0,Instore,Houston
2020-12-16,Energy Drinks,DreamRest,0.0,1.0,10.99,0.0,0.0,Mobile App,Los Angeles
2020-11-11,Immunity Boosters,SlimFast,50.0,1.0,10.99,10.0,494.55,Mobile App,Los Angeles
2020-07-15,Immunity Boosters,DreamRest,0.0,1.0,9.99,50.0,0.0,Online,Los Angeles
2020-08-19,Protein,PowerFuel,11.0,2.0,12.5,20.0,0.0,Online,Phoenix
2020-03-25,Immunity Boosters,ImmunoPro,9.0,1.0,12.5,0.0,0.0,Mobile App,Chicago
2020-09-16,Protein,PowerFuel,43.0,1.0,10.99,0.0,472.57,Online,Los Angeles
2020-01-15,Immunity Boosters,ImmunoPro,0.0,1.0,9.99,50.0,0.0,Instore,New York
2020-08-05,Immunity Boosters,ImmunoPro,42.0,1.0,12.5,0.0,525.0,Instore,Los Angeles
2020-05-13,Sleep Aids,SuperVita,11.0,1.0,9.99,25.0,82.4175,Instore,New York
2020-09-23,Sleep Aids,DreamRest,47.0,1.0,12.5,0.0,587.5,Mobile App,Los Angeles
2020-05-20,Vitamins,ImmunoPro,0.0,1.0,10.99,0.0,0.0,Mobile App,Los Angeles
2020-09-30,Protein,DreamRest,37.0,1.0,12.5,25.0,346.875,Mobile App,Chicago
2020-08-05,Weight Loss,SuperVita,6.0,1.0,9.99,10.0,53.946,Instore,New York
2020-01-22,Weight Loss,SuperVita,0.0,0.0,9.99,10.0,0.0,Mobile App,New York
2020-12-02,Vitamins,SlimFast,11.0,2.0,12.5,20.0,0.0,Online,Los Angeles
2020-08-12,Immunity Boosters,ImmunoPro,0.0,1.0,10.99,25.0,0.0,Mobile App,New York
2020-09-02,Protein,SlimFast,39.0,1.0,10.99,0.0,428.61,Online,Chicago
2020-11-11,Weight Loss,SuperVita,11.0,2.0,12.5,20.0,0.0,Instore,Los Angeles
2020-09-30,Energy Drinks,DreamRest,33.0,1.0,15.0,25.0,371.25,Online,New York
2020-05-27,Weight Loss,ImmunoPro,0.0,1.0,9.99,20.0,0.0,Instore,Houston
2020-11-18,Weight Loss,PowerFuel,34.0,1.0,12.5,0.0,425.0,Mobile App,Los Angeles
2020-03-25,Energy Drinks,SlimFast,10.0,1.0,9.99,50.0,49.95,Mobile App,Chicago
2020-11-25,Sleep Aids,PowerFuel,11.0,1.0,15.0,20.0,0.0,Online,Los Angeles
2020-05-20,Weight Loss,DreamRest,35.0,2.0,12.5,25.0,0.0,Instore,Houston
2020-04-29,Protein,ImmunoPro,50.0,1.0,9.99,20.0,399.6,Online,New York
2020-09-02,Sleep Aids,ImmunoPro,11.0,1.0,12.5,25.0,0.0,Online,New York
2020-12-09,Energy Drinks,SuperVita,11.0,2.0,9.99,20.0,0.0,Mobile App,Chicago
2020-04-01,Immunity Boosters,ImmunoPro,36.0,1.0,10.99,50.0,197.82,Instore,Houston
2020-04-15,Immunity Boosters,SlimFast,0.0,0.0,10.99,25.0,0.0,Mobile App,Chicago
2020-02-12,Protein,SuperVita,0.0,1.0,9.99,25.0,0.0,Instore,Houston
2020-12-02,Energy Drinks,ImmunoPro,11.0,0.0,12.5,10.0,0.0,Mobile App,New York
2020-03-18,Protein,SuperVita,26.0,1.0,15.0,0.0,390.0,Online,Phoenix
2020-09-09,Energy Drinks,ImmunoPro,30.0,1.0,12.5,25.0,0.0,Mobile App,Houston
2020-12-23,Protein,SuperVita,42.0,1.0,10.99,105.0,-23.07900000000001,Mobile App,Phoenix
2020-09-09,Protein,PowerFuel,40.0,1.0,12.5,20.0,0.0,Online,Los Angeles
2020-10-21,Protein,SuperVita,0.0,0.0,15.0,25.0,0.0,Instore,Chicago
2020-12-02,Energy Drinks,ImmunoPro,11.0,2.0,15.0,20.0,0.0,Instore,New York
2020-10-21,Energy Drinks,PowerFuel,26.0,0.0,15.0,20.0,312.0,Mobile App,Houston
2020-04-08,Weight Loss,PowerFuel,30.0,1.0,12.5,25.0,0.0,Mobile App,Houston
2020-12-02,Immunity Boosters,MuscleMax,34.0,1.0,15.0,0.0,510.0,Mobile App,Los Angeles
2020-01-22,Immunity Boosters,SlimFast,11.0,1.0,15.0,20.0,0.0,Mobile App,Chicago
2020-02-19,Sleep Aids,SuperVita,6.0,0.0,9.99,10.0,53.946,Mobile App,Los Angeles
2020-07-22,Immunity Boosters,SuperVita,44.0,0.0,9.99,20.0,351.648,Online,Houston
2020-09-16,Weight Loss,DreamRest,0.0,1.0,10.99,0.0,0.0,Online,New York
2020-05-06,Protein,SlimFast,24.0,1.0,9.99,25.0,179.82,Online,Chicago
2020-10-14,Vitamins,PowerFuel,35.0,1.0,12.5,105.0,-21.875,Instore,New York
2020-02-12,Energy Drinks,SuperVita,44.0,1.0,9.99,0.0,439.56,Instore,Houston
2020-07-22,Energy Drinks,SlimFast,0.0,0.0,9.99,50.0,0.0,Online,Houston
2020-01-04,Immunity Boosters,SuperVita,0.0,1.0,10.99,25.0,0.0,Online,Houston
2020-08-26,Vitamins,PowerFuel,33.0,1.0,12.5,20.0,0.0,Mobile App,New York
2020-04-15,Protein,SlimFast,27.0,2.0,10.99,50.0,148.365,Mobile App,Chicago
2020-10-07,Immunity Boosters,SuperVita,4.0,1.0,12.5,20.0,0.0,Instore,Los Angeles
2020-07-01,Weight Loss,PowerFuel,49.0,1.0,12.5,20.0,490.0,Instore,Chicago
2020-12-23,Vitamins,SlimFast,0.0,1.0,12.5,20.0,0.0,Instore,New York
2020-10-14,Weight Loss,DreamRest,0.0,0.0,15.0,25.0,0.0,Instore,New York
2020-01-29,Immunity Boosters,SlimFast,0.0,2.0,15.0,0.0,0.0,Instore,Houston
2020-11-25,Weight Loss,SlimFast,0.0,1.0,12.5,50.0,0.0,Mobile App,Phoenix
2020-06-17,Sleep Aids,DreamRest,20.0,2.0,12.5,25.0,0.0,Online,Los Angeles
2020-12-23,Weight Loss,DreamRest,14.0,2.0,9.99,0.0,139.86,Mobile App,Houston
2020-11-25,Energy Drinks,SlimFast,0.0,1.0,15.0,10.0,0.0,Online,Houston
2020-08-05,Sleep Aids,DreamRest,17.0,1.0,9.99,10.0,152.847,Instore,New York
2020-03-11,Immunity Boosters,SuperVita,11.0,1.0,10.99,20.0,0.0,Online,New York
2020-02-12,Protein,SlimFast,0.0,0.0,12.5,50.0,0.0,Online,New York
2020-01-22,Sleep Aids,SuperVita,43.0,0.0,10.99,50.0,236.285,Mobile App,Los Angeles
2020-01-01,Sleep Aids,ImmunoPro,35.0,0.0,12.5,20.0,0.0,Instore,Los Angeles
2020-12-23,Protein,MuscleMax,0.0,1.0,12.5,50.0,0.0,Mobile App,Phoenix
2020-06-03,Weight Loss,MuscleMax,24.0,1.0,12.5,10.0,0.0,Instore,Houston
2020-05-13,Vitamins,SuperVita,6.0,1.0,9.99,50.0,29.97,Online,New York
2020-07-10,Protein,MuscleMax,32.0,2.0,12.5,20.0,0.0,Online,New York
2020-04-08,Sleep Aids,SuperVita,0.0,0.0,15.0,50.0,0.0,Mobile App,New York
2020-03-18,Energy Drinks,SuperVita,0.0,1.0,10.99,20.0,0.0,Instore,Houston
2020-09-09,Weight Loss,DreamRest,11.0,0.0,12.5,20.0,0.0,Mobile App,New York
2020-02-12,Vitamins,DreamRest,39.0,2.0,10.99,105.0,-21.43049999999999,Mobile App,Chicago
2020-08-05,Immunity Boosters,SlimFast,0.0,1.0,9.99,0.0,0.0,Mobile App,Phoenix
2020-12-23,Vitamins,MuscleMax,11.0,1.0,12.5,20.0,0.0,Online,New York
2020-06-10,Vitamins,ImmunoPro,29.0,2.0,10.99,10.0,286.839,Online,Chicago
2020-07-08,Immunity Boosters,SlimFast,0.0,0.0,15.0,50.0,0.0,Online,New York
2020-06-17,Weight Loss,SlimFast,0.0,1.0,12.5,50.0,0.0,Mobile App,Chicago
2020-10-28,Protein,ImmunoPro,20.0,1.0,12.5,0.0,250.0,Instore,Los Angeles
2020-04-29,Weight Loss,MuscleMax,24.0,1.0,9.99,50.0,119.88,Mobile App,Houston
2020-07-22,Energy Drinks,SuperVita,26.0,1.0,9.99,0.0,259.74,Mobile App,Chicago
2020-05-27,Sleep Aids,PowerFuel,20.0,1.0,12.5,25.0,187.5,Mobile App,Chicago
2020-06-24,Energy Drinks,SuperVita,0.0,2.0,9.99,20.0,0.0,Online,New York
2020-02-19,Protein,PowerFuel,0.0,1.0,12.5,25.0,0.0,Mobile App,Los Angeles
2020-12-16,Sleep Aids,SuperVita,9.0,1.0,15.0,105.0,-6.75,Instore,Los Angeles
2020-12-16,Weight Loss,SuperVita,38.0,1.0,12.5,20.0,0.0,Instore,Los Angeles
2020-08-26,Energy Drinks,MuscleMax,11.0,2.0,12.5,20.0,0.0,Mobile App,New York
2020-09-09,Sleep Aids,SlimFast,49.0,1.0,10.99,0.0,538.51,Online,Phoenix
2020-04-08,Immunity Boosters,SlimFast,29.0,1.0,9.99,0.0,289.71,Instore,Chicago
2020-06-03,Weight Loss,MuscleMax,19.0,0.0,10.99,0.0,208.81,Instore,Chicago
2020-06-03,Weight Loss,SlimFast,34.0,2.0,9.99,0.0,339.66,Online,Chicago
2020-05-20,Vitamins,MuscleMax,2.0,0.0,12.5,105.0,-1.25,Instore,Chicago
2020-09-02,Immunity Boosters,SlimFast,0.0,1.0,12.5,10.0,0.0,Instore,Los Angeles
2020-06-24,Immunity Boosters,SlimFast,29.0,1.0,10.99,105.0,-15.93549999999999,Instore,Houston
2020-04-29,Vitamins,MuscleMax,0.0,2.0,15.0,10.0,0.0,Online,Los Angeles
2020-04-22,Weight Loss,DreamRest,39.0,1.0,9.99,50.0,194.805,Online,New York
2020-06-03,Immunity Boosters,PowerFuel,44.0,1.0,12.5,0.0,0.0,Instore,Chicago
2020-05-20,Energy Drinks,MuscleMax,12.0,1.0,12.5,25.0,0.0,Online,Chicago
